ID,Sex,Cage,Stim,Diet,Cohort,FeederID,Date,RecordingNumber,Total_Correct_Pokes,Total_Incorrect_Pokes,Total_Pellets,Binned_Correct_Pokes,Binned_Incorrect_Pokes,Binned_Pellets,Bin,Bin_Time,Breakpoint_Active_Pokes,Breakpoint_All_Pokes
J6749,M,YD05,Stim,HFHS,Cohort1,FED005,082923,02,262,17,12,0,0,0,1,0,32.0,32.0
J6749,M,YD05,Stim,HFHS,Cohort1,FED005,082923,02,262,17,12,114,9,9,2,30,32.0,32.0
J6749,M,YD05,Stim,HFHS,Cohort1,FED005,082923,02,262,17,12,140,9,10,3,60,32.0,32.0
J6749,M,YD05,Stim,HFHS,Cohort1,FED005,082923,02,262,17,12,262,17,12,4,90,32.0,32.0
J6770,F,YD09,Stim,Chow,Cohort1,FED018,090723,00,611,36,16,0,0,0,1,0,118.0,118.0
J6770,F,YD09,Stim,Chow,Cohort1,FED018,090723,00,611,36,16,160,18,10,2,30,118.0,118.0
J6770,F,YD09,Stim,Chow,Cohort1,FED018,090723,00,611,36,16,335,27,13,3,60,118.0,118.0
J6770,F,YD09,Stim,Chow,Cohort1,FED018,090723,00,611,36,16,611,36,16,4,90,118.0,118.0
J6776,F,YD10,Stim,HFHS,Cohort1,FED007,081723,02,280,10,12,0,0,0,1,0,50.0,50.0
J6776,F,YD10,Stim,HFHS,Cohort1,FED007,081723,02,280,10,12,126,5,9,2,30,50.0,50.0
J6776,F,YD10,Stim,HFHS,Cohort1,FED007,081723,02,280,10,12,207,10,11,3,60,50.0,50.0
J6776,F,YD10,Stim,HFHS,Cohort1,FED007,081723,02,280,10,12,280,10,12,4,90,50.0,50.0
