MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
8/29/2023 11:07:41,1.16.3,ProgRatio,22,4.09,nan,1,Left,Left,1,0,0,0,nan,nan,0.16
8/29/2023 11:07:47,1.16.3,ProgRatio,22,4.09,3,1,Pellet,Left,1,0,1,0,2.15,nan,nan
8/29/2023 11:08:49,1.16.3,ProgRatio,22,4.09,nan,2,Left,Left,2,0,1,0,nan,nan,0.43
8/29/2023 11:08:53,1.16.3,ProgRatio,22,4.09,nan,2,Right,Left,2,1,1,0,nan,nan,0.31
8/29/2023 11:09:53,1.16.3,ProgRatio,22,4.09,nan,2,Left,Left,3,1,1,0,nan,nan,0.16
8/29/2023 11:09:54,1.16.3,ProgRatio,22,4.09,2,2,Pellet,Left,3,1,2,0,0.12,127,nan
8/29/2023 11:10:12,1.16.3,ProgRatio,22,4.09,nan,4,Left,Left,4,1,2,0,nan,nan,0.09
8/29/2023 11:11:49,1.16.3,ProgRatio,22,4.09,nan,4,Left,Left,5,1,2,0,nan,nan,0.08
8/29/2023 11:14:03,1.16.3,ProgRatio,22,4.09,nan,4,Left,Left,6,1,2,0,nan,nan,0.10
8/29/2023 11:14:25,1.16.3,ProgRatio,22,4.09,nan,4,Left,Left,7,1,2,0,nan,nan,0.04
8/29/2023 11:14:25,1.16.3,ProgRatio,22,4.09,nan,4,LeftDuringDispense,Left,8,1,2,0,nan,nan,0.05
8/29/2023 11:14:28,1.16.3,ProgRatio,22,4.09,2,4,Pellet,Left,8,1,3,0,0.31,274,nan
8/29/2023 11:14:39,1.16.3,ProgRatio,22,4.09,nan,6,Left,Left,9,1,3,0,nan,nan,0.07
8/29/2023 11:14:39,1.16.3,ProgRatio,22,4.09,nan,6,Left,Left,10,1,3,0,nan,nan,0.00
8/29/2023 11:14:41,1.16.3,ProgRatio,22,4.09,nan,6,Left,Left,11,1,3,0,nan,nan,0.23
8/29/2023 11:14:42,1.16.3,ProgRatio,22,4.09,nan,6,Left,Left,12,1,3,0,nan,nan,0.00
8/29/2023 11:15:35,1.16.3,ProgRatio,22,4.09,nan,6,Right,Left,12,2,3,0,nan,nan,0.20
