MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
9/6/2023 11:28:44,1.16.3,ProgRatio,2,4.02,nan,1,Left,Left,1,0,0,0,nan,nan,0.24
9/6/2023 11:28:51,1.16.3,ProgRatio,2,4.03,4,1,Pellet,Left,1,0,1,0,1.64,nan,nan
9/6/2023 11:29:01,1.16.3,ProgRatio,2,4.03,nan,2,Left,Left,2,0,1,0,nan,nan,0.21
9/6/2023 11:29:03,1.16.3,ProgRatio,2,4.02,nan,2,Left,Left,3,0,1,0,nan,nan,0.34
9/6/2023 11:29:05,1.16.3,ProgRatio,2,4.02,1,2,Pellet,Left,3,0,2,0,0.56,13,nan
9/6/2023 11:29:13,1.16.3,ProgRatio,2,4.03,nan,4,Left,Left,4,0,2,0,nan,nan,0.03
9/6/2023 11:29:21,1.16.3,ProgRatio,2,4.03,nan,4,Left,Left,5,0,2,0,nan,nan,0.08
9/6/2023 11:29:22,1.16.3,ProgRatio,2,4.03,nan,4,Left,Left,6,0,2,0,nan,nan,0.16
9/6/2023 11:29:24,1.16.3,ProgRatio,2,4.02,nan,4,Left,Left,7,0,2,0,nan,nan,0.08
9/6/2023 11:29:26,1.16.3,ProgRatio,2,4.03,1,4,Pellet,Left,7,0,3,0,0.31,21,nan
9/6/2023 11:29:33,1.16.3,ProgRatio,2,4.02,nan,6,Left,Left,8,0,3,0,nan,nan,0.18
9/6/2023 11:29:34,1.16.3,ProgRatio,2,4.03,nan,6,Left,Left,9,0,3,0,nan,nan,0.22
9/6/2023 11:29:36,1.16.3,ProgRatio,2,4.02,nan,6,Left,Left,10,0,3,0,nan,nan,0.13
9/6/2023 11:29:40,1.16.3,ProgRatio,2,4.03,nan,6,Right,Left,10,1,3,0,nan,nan,0.18
9/6/2023 11:29:41,1.16.3,ProgRatio,2,4.02,nan,6,Left,Left,11,1,3,0,nan,nan,0.19
9/6/2023 11:29:42,1.16.3,ProgRatio,2,4.02,nan,6,Left,Left,12,1,3,0,nan,nan,0.19
9/6/2023 11:29:43,1.16.3,ProgRatio,2,4.02,nan,6,Left,Left,13,1,3,0,nan,nan,0.12
9/6/2023 11:29:45,1.16.3,ProgRatio,2,4.02,1,6,Pellet,Left,13,1,4,0,0.19,19,nan
9/6/2023 11:29:54,1.16.3,ProgRatio,2,4.02,nan,9,Left,Left,14,1,4,0,nan,nan,0.07
9/6/2023 11:30:01,1.16.3,ProgRatio,2,4.02,nan,9,Left,Left,15,1,4,0,nan,nan,0.10
9/6/2023 11:30:03,1.16.3,ProgRatio,2,4.02,nan,9,Left,Left,16,1,4,0,nan,nan,0.16
9/6/2023 11:30:04,1.16.3,ProgRatio,2,4.02,nan,9,Left,Left,17,1,4,0,nan,nan,0.12
9/6/2023 11:30:06,1.16.3,ProgRatio,2,4.02,nan,9,Left,Left,18,1,4,0,nan,nan,0.14
9/6/2023 11:30:08,1.16.3,ProgRatio,2,4.03,nan,9,Left,Left,19,1,4,0,nan,nan,0.18
9/6/2023 11:30:10,1.16.3,ProgRatio,2,4.02,nan,9,Left,Left,20,1,4,0,nan,nan,0.25
9/6/2023 11:30:11,1.16.3,ProgRatio,2,4.02,nan,9,Left,Left,21,1,4,0,nan,nan,0.19
9/6/2023 11:30:13,1.16.3,ProgRatio,2,4.03,nan,9,Left,Left,22,1,4,0,nan,nan,0.32
9/6/2023 11:30:14,1.16.3,ProgRatio,2,4.02,1,9,Pellet,Left,22,1,5,0,0.44,30,nan
9/6/2023 11:30:55,1.16.3,ProgRatio,2,4.02,nan,12,Right,Left,22,2,5,0,nan,nan,0.19
9/6/2023 11:30:58,1.16.3,ProgRatio,2,4.02,nan,12,Right,Left,22,3,5,0,nan,nan,0.19
9/6/2023 11:31:00,1.16.3,ProgRatio,2,4.03,nan,12,Left,Left,23,3,5,0,nan,nan,0.18
9/6/2023 11:31:02,1.16.3,ProgRatio,2,4.02,nan,12,Left,Left,24,3,5,0,nan,nan,0.19
9/6/2023 11:31:03,1.16.3,ProgRatio,2,4.03,nan,12,Left,Left,25,3,5,0,nan,nan,0.19
9/6/2023 11:31:04,1.16.3,ProgRatio,2,4.03,nan,12,Left,Left,26,3,5,0,nan,nan,0.22
9/6/2023 11:31:06,1.16.3,ProgRatio,2,4.02,nan,12,Left,Left,27,3,5,0,nan,nan,0.22
9/6/2023 11:31:06,1.16.3,ProgRatio,2,4.02,nan,12,Left,Left,28,3,5,0,nan,nan,0.00
9/6/2023 11:31:09,1.16.3,ProgRatio,2,4.02,nan,12,Left,Left,29,3,5,0,nan,nan,0.25
9/6/2023 11:31:12,1.16.3,ProgRatio,2,4.03,nan,12,Left,Left,30,3,5,0,nan,nan,0.20
9/6/2023 11:31:14,1.16.3,ProgRatio,2,4.02,nan,12,Left,Left,31,3,5,0,nan,nan,0.21
9/6/2023 11:31:15,1.16.3,ProgRatio,2,4.03,nan,12,Left,Left,32,3,5,0,nan,nan,0.15
9/6/2023 11:31:19,1.16.3,ProgRatio,2,4.02,nan,12,Left,Left,33,3,5,0,nan,nan,0.11
9/6/2023 11:31:21,1.16.3,ProgRatio,2,4.02,nan,12,Left,Left,34,3,5,0,nan,nan,0.15
9/6/2023 11:31:22,1.16.3,ProgRatio,2,4.02,1,12,Pellet,Left,34,3,6,0,0.31,68,nan
9/6/2023 11:31:32,1.16.3,ProgRatio,2,4.02,nan,15,Left,Left,35,3,6,0,nan,nan,0.15
9/6/2023 11:31:35,1.16.3,ProgRatio,2,4.02,nan,15,Left,Left,36,3,6,0,nan,nan,0.23
9/6/2023 11:31:38,1.16.3,ProgRatio,2,4.02,nan,15,Left,Left,37,3,6,0,nan,nan,0.35
9/6/2023 11:31:40,1.16.3,ProgRatio,2,4.02,nan,15,Left,Left,38,3,6,0,nan,nan,0.24
9/6/2023 11:31:42,1.16.3,ProgRatio,2,4.02,nan,15,Left,Left,39,3,6,0,nan,nan,0.45
9/6/2023 11:31:44,1.16.3,ProgRatio,2,4.03,nan,15,Left,Left,40,3,6,0,nan,nan,0.37
9/6/2023 11:31:48,1.16.3,ProgRatio,2,4.02,nan,15,Left,Left,41,3,6,0,nan,nan,0.04
9/6/2023 11:31:49,1.16.3,ProgRatio,2,4.02,nan,15,Left,Left,42,3,6,0,nan,nan,0.00
9/6/2023 11:31:49,1.16.3,ProgRatio,2,4.02,nan,15,Left,Left,43,3,6,0,nan,nan,0.00
9/6/2023 11:31:51,1.16.3,ProgRatio,2,4.03,nan,15,Left,Left,44,3,6,0,nan,nan,0.16
9/6/2023 11:31:53,1.16.3,ProgRatio,2,4.02,nan,15,Left,Left,45,3,6,0,nan,nan,0.19
9/6/2023 11:31:55,1.16.3,ProgRatio,2,4.02,nan,15,Left,Left,46,3,6,0,nan,nan,0.23
9/6/2023 11:33:03,1.16.3,ProgRatio,2,4.02,nan,15,Right,Left,46,4,6,0,nan,nan,0.09
9/6/2023 11:33:06,1.16.3,ProgRatio,2,4.02,nan,15,Right,Left,46,5,6,0,nan,nan,0.11
9/6/2023 11:33:08,1.16.3,ProgRatio,2,4.02,nan,15,Left,Left,47,5,6,0,nan,nan,0.17
9/6/2023 11:33:09,1.16.3,ProgRatio,2,4.03,nan,15,Left,Left,48,5,6,0,nan,nan,0.13
9/6/2023 11:33:13,1.16.3,ProgRatio,2,4.02,nan,15,Left,Left,49,5,6,0,nan,nan,0.01
9/6/2023 11:33:15,1.16.3,ProgRatio,2,4.03,1,15,Pellet,Left,49,5,7,0,0.94,113,nan
9/6/2023 11:33:24,1.16.3,ProgRatio,2,4.02,nan,20,Left,Left,50,5,7,0,nan,nan,0.08
9/6/2023 11:33:27,1.16.3,ProgRatio,2,4.03,nan,20,Left,Left,51,5,7,0,nan,nan,0.06
9/6/2023 11:33:33,1.16.3,ProgRatio,2,4.03,nan,20,Left,Left,52,5,7,0,nan,nan,0.19
9/6/2023 11:33:36,1.16.3,ProgRatio,2,4.02,nan,20,Left,Left,53,5,7,0,nan,nan,0.22
9/6/2023 11:33:37,1.16.3,ProgRatio,2,4.03,nan,20,Left,Left,54,5,7,0,nan,nan,0.22
9/6/2023 11:33:38,1.16.3,ProgRatio,2,4.02,nan,20,Left,Left,55,5,7,0,nan,nan,0.23
9/6/2023 11:33:40,1.16.3,ProgRatio,2,4.03,nan,20,Left,Left,56,5,7,0,nan,nan,0.25
9/6/2023 11:33:44,1.16.3,ProgRatio,2,4.02,nan,20,Left,Left,57,5,7,0,nan,nan,0.14
