MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
8/29/2023 11:14:58,1.16.3,ProgRatio,11,4.05,nan,1,Right,Left,0,1,0,0,nan,nan,0.09
8/29/2023 11:16:15,1.16.3,ProgRatio,11,4.05,nan,1,Left,Left,1,1,0,0,nan,nan,0.05
8/29/2023 11:16:19,1.16.3,ProgRatio,11,4.05,3,1,Pellet,Left,1,1,1,0,0.25,nan,nan
8/29/2023 11:16:24,1.16.3,ProgRatio,11,4.05,nan,2,Left,Left,2,1,1,0,nan,nan,0.13
8/29/2023 11:16:41,1.16.3,ProgRatio,11,4.05,nan,2,Right,Left,2,2,1,0,nan,nan,0.00
8/29/2023 11:17:51,1.16.3,ProgRatio,11,4.05,nan,2,Left,Left,3,2,1,0,nan,nan,0.02
8/29/2023 11:17:52,1.16.3,ProgRatio,11,4.05,1,2,Pellet,Left,3,2,2,0,0.44,94,nan
8/29/2023 11:17:58,1.16.3,ProgRatio,11,4.05,nan,4,Left,Left,4,2,2,0,nan,nan,0.04
8/29/2023 11:18:02,1.16.3,ProgRatio,11,4.05,nan,4,Left,Left,5,2,2,0,nan,nan,0.16
8/29/2023 11:18:07,1.16.3,ProgRatio,11,4.05,nan,4,Left,Left,6,2,2,0,nan,nan,0.39
8/29/2023 11:18:07,1.16.3,ProgRatio,11,4.05,nan,4,Left,Left,7,2,2,0,nan,nan,0.00
8/29/2023 11:18:08,1.16.3,ProgRatio,11,4.05,1,4,Pellet,Left,7,2,3,0,0.25,16,nan
8/29/2023 11:18:32,1.16.3,ProgRatio,11,4.05,nan,6,Left,Left,8,2,3,0,nan,nan,0.08
8/29/2023 11:18:34,1.16.3,ProgRatio,11,4.05,nan,6,Left,Left,9,2,3,0,nan,nan,0.04
8/29/2023 11:18:35,1.16.3,ProgRatio,11,4.05,nan,6,Left,Left,10,2,3,0,nan,nan,0.15
8/29/2023 11:21:02,1.16.3,ProgRatio,11,4.05,nan,6,Right,Left,10,3,3,0,nan,nan,0.65
8/29/2023 11:21:48,1.16.3,ProgRatio,11,4.05,nan,6,Right,Left,10,4,3,0,nan,nan,0.21
8/29/2023 11:22:51,1.16.3,ProgRatio,11,4.05,nan,6,Left,Left,11,4,3,0,nan,nan,0.02
8/29/2023 11:22:54,1.16.3,ProgRatio,11,4.05,nan,6,Left,Left,12,4,3,0,nan,nan,0.29
8/29/2023 11:22:59,1.16.3,ProgRatio,11,4.05,nan,6,Left,Left,13,4,3,0,nan,nan,0.42
8/29/2023 11:23:00,1.16.3,ProgRatio,11,4.05,1,6,Pellet,Left,13,4,4,0,0.25,292,nan
8/29/2023 11:23:16,1.16.3,ProgRatio,11,4.05,nan,9,Left,Left,14,4,4,0,nan,nan,0.06
8/29/2023 11:23:19,1.16.3,ProgRatio,11,4.05,nan,9,Left,Left,15,4,4,0,nan,nan,0.16
8/29/2023 11:23:20,1.16.3,ProgRatio,11,4.05,nan,9,Left,Left,16,4,4,0,nan,nan,0.12
8/29/2023 11:23:22,1.16.3,ProgRatio,11,4.05,nan,9,Left,Left,17,4,4,0,nan,nan,0.14
8/29/2023 11:23:41,1.16.3,ProgRatio,11,4.05,nan,9,Right,Left,17,5,4,0,nan,nan,0.10
8/29/2023 11:23:45,1.16.3,ProgRatio,11,4.05,nan,9,Left,Left,18,5,4,0,nan,nan,0.06
8/29/2023 11:28:45,1.16.3,ProgRatio,11,4.05,nan,9,Right,Left,18,6,4,0,nan,nan,0.27
8/29/2023 11:29:01,1.16.3,ProgRatio,11,4.05,nan,9,Right,Left,18,7,4,0,nan,nan,0.12
8/29/2023 11:29:25,1.16.3,ProgRatio,11,4.05,nan,9,Left,Left,19,7,4,0,nan,nan,0.01
8/29/2023 11:29:27,1.16.3,ProgRatio,11,4.05,nan,9,Left,Left,20,7,4,0,nan,nan,0.01
8/29/2023 11:29:29,1.16.3,ProgRatio,11,4.05,nan,9,Left,Left,21,7,4,0,nan,nan,0.09
8/29/2023 11:29:31,1.16.3,ProgRatio,11,4.05,nan,9,Left,Left,22,7,4,0,nan,nan,0.08
8/29/2023 11:29:33,1.16.3,ProgRatio,11,4.05,1,9,Pellet,Left,22,7,5,0,0.56,393,nan
8/29/2023 11:30:42,1.16.3,ProgRatio,11,4.05,nan,12,Left,Left,23,7,5,0,nan,nan,0.03
8/29/2023 11:30:43,1.16.3,ProgRatio,11,4.05,nan,12,Left,Left,24,7,5,0,nan,nan,0.20
8/29/2023 11:30:47,1.16.3,ProgRatio,11,4.05,nan,12,Left,Left,25,7,5,0,nan,nan,0.29
8/29/2023 11:30:50,1.16.3,ProgRatio,11,4.05,nan,12,Left,Left,26,7,5,0,nan,nan,0.13
8/29/2023 11:31:09,1.16.3,ProgRatio,11,4.05,nan,12,Left,Left,27,7,5,0,nan,nan,0.02
8/29/2023 11:31:12,1.16.3,ProgRatio,11,4.05,nan,12,Left,Left,28,7,5,0,nan,nan,0.01
8/29/2023 11:31:13,1.16.3,ProgRatio,11,4.05,nan,12,Left,Left,29,7,5,0,nan,nan,0.28
8/29/2023 11:31:15,1.16.3,ProgRatio,11,4.05,nan,12,Left,Left,30,7,5,0,nan,nan,0.13
8/29/2023 11:33:51,1.16.3,ProgRatio,11,4.05,nan,12,Left,Left,31,7,5,0,nan,nan,0.01
8/29/2023 11:33:58,1.16.3,ProgRatio,11,4.05,nan,12,Left,Left,32,7,5,0,nan,nan,0.00
8/29/2023 11:35:02,1.16.3,ProgRatio,11,4.05,nan,12,Left,Left,33,7,5,0,nan,nan,0.10
8/29/2023 11:35:05,1.16.3,ProgRatio,11,4.05,nan,12,Left,Left,34,7,5,0,nan,nan,0.41
8/29/2023 11:35:06,1.16.3,ProgRatio,11,4.05,1,12,Pellet,Left,34,7,6,0,0.44,333,nan
8/29/2023 11:35:24,1.16.3,ProgRatio,11,4.05,nan,15,Left,Left,35,7,6,0,nan,nan,0.05
8/29/2023 11:35:25,1.16.3,ProgRatio,11,4.05,nan,15,Left,Left,36,7,6,0,nan,nan,0.17
8/29/2023 11:35:29,1.16.3,ProgRatio,11,4.05,nan,15,Left,Left,37,7,6,0,nan,nan,0.06
8/29/2023 11:35:31,1.16.3,ProgRatio,11,4.05,nan,15,Left,Left,38,7,6,0,nan,nan,0.39
8/29/2023 11:35:32,1.16.3,ProgRatio,11,4.05,nan,15,Left,Left,39,7,6,0,nan,nan,0.05
8/29/2023 11:35:39,1.16.3,ProgRatio,11,4.05,nan,15,Left,Left,40,7,6,0,nan,nan,0.02
8/29/2023 11:35:40,1.16.3,ProgRatio,11,4.05,nan,15,Left,Left,41,7,6,0,nan,nan,0.00
8/29/2023 11:35:40,1.16.3,ProgRatio,11,4.05,nan,15,Left,Left,42,7,6,0,nan,nan,0.00
8/29/2023 11:36:01,1.16.3,ProgRatio,11,4.05,nan,15,Right,Left,42,8,6,0,nan,nan,0.09
8/29/2023 11:36:04,1.16.3,ProgRatio,11,4.05,nan,15,Left,Left,43,8,6,0,nan,nan,0.02
8/29/2023 11:38:15,1.16.3,ProgRatio,11,4.05,nan,15,Left,Left,44,8,6,0,nan,nan,0.22
8/29/2023 11:38:17,1.16.3,ProgRatio,11,4.05,nan,15,Left,Left,45,8,6,0,nan,nan,0.02
8/29/2023 11:38:21,1.16.3,ProgRatio,11,4.05,nan,15,Left,Left,46,8,6,0,nan,nan,0.60
