MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
9/6/2023 11:29:44,1.16.3,ProgRatio,19,4.11,nan,1,Right,Left,0,1,0,0,nan,nan,0.11
9/6/2023 11:30:04,1.16.3,ProgRatio,19,4.11,nan,1,Right,Left,0,2,0,0,nan,nan,0.05
9/6/2023 11:30:49,1.16.3,ProgRatio,19,4.11,nan,1,Left,Left,1,2,0,0,nan,nan,0.20
9/6/2023 11:30:55,1.16.3,ProgRatio,19,4.11,4,1,Pellet,Left,1,2,1,0,0.63,nan,nan
9/6/2023 11:31:18,1.16.3,ProgRatio,19,4.11,nan,2,Left,Left,2,2,1,0,nan,nan,0.20
9/6/2023 11:31:21,1.16.3,ProgRatio,19,4.11,nan,2,Left,Left,3,2,1,0,nan,nan,0.08
9/6/2023 11:31:22,1.16.3,ProgRatio,19,4.11,2,2,Pellet,Left,3,2,2,0,0.12,27,nan
9/6/2023 11:31:30,1.16.3,ProgRatio,19,4.11,nan,4,Left,Left,4,2,2,0,nan,nan,0.17
9/6/2023 11:31:32,1.16.3,ProgRatio,19,4.11,nan,4,Left,Left,5,2,2,0,nan,nan,0.21
9/6/2023 11:31:33,1.16.3,ProgRatio,19,4.11,nan,4,Left,Left,6,2,2,0,nan,nan,0.22
9/6/2023 11:31:35,1.16.3,ProgRatio,19,4.11,nan,4,Left,Left,7,2,2,0,nan,nan,0.12
9/6/2023 11:31:41,1.16.3,ProgRatio,19,4.11,3,4,Pellet,Left,7,2,3,0,3.61,19,nan
9/6/2023 11:31:53,1.16.3,ProgRatio,19,4.11,nan,6,Left,Left,8,2,3,0,nan,nan,0.06
9/6/2023 11:32:16,1.16.3,ProgRatio,19,4.11,nan,6,Left,Left,9,2,3,0,nan,nan,0.08
9/6/2023 11:32:17,1.16.3,ProgRatio,19,4.11,nan,6,Left,Left,10,2,3,0,nan,nan,0.08
9/6/2023 11:32:19,1.16.3,ProgRatio,19,4.11,nan,6,Left,Left,11,2,3,0,nan,nan,0.02
9/6/2023 11:32:20,1.16.3,ProgRatio,19,4.11,nan,6,Left,Left,12,2,3,0,nan,nan,0.11
9/6/2023 11:32:21,1.16.3,ProgRatio,19,4.11,nan,6,Left,Left,13,2,3,0,nan,nan,0.15
9/6/2023 11:32:22,1.16.3,ProgRatio,19,4.11,1,6,Pellet,Left,13,2,4,0,0.12,41,nan
9/6/2023 11:32:34,1.16.3,ProgRatio,19,4.11,nan,9,Left,Left,14,2,4,0,nan,nan,0.02
9/6/2023 11:32:35,1.16.3,ProgRatio,19,4.11,nan,9,Left,Left,15,2,4,0,nan,nan,0.00
9/6/2023 11:32:36,1.16.3,ProgRatio,19,4.11,nan,9,Left,Left,16,2,4,0,nan,nan,0.18
9/6/2023 11:33:02,1.16.3,ProgRatio,19,4.11,nan,9,Left,Left,17,2,4,0,nan,nan,0.10
9/6/2023 11:33:03,1.16.3,ProgRatio,19,4.11,nan,9,Left,Left,18,2,4,0,nan,nan,0.04
9/6/2023 11:33:05,1.16.3,ProgRatio,19,4.12,nan,9,Left,Left,19,2,4,0,nan,nan,0.13
9/6/2023 11:33:09,1.16.3,ProgRatio,19,4.11,nan,9,Left,Left,20,2,4,0,nan,nan,0.05
9/6/2023 11:33:10,1.16.3,ProgRatio,19,4.11,nan,9,Left,Left,21,2,4,0,nan,nan,0.14
9/6/2023 11:33:11,1.16.3,ProgRatio,19,4.12,nan,9,Left,Left,22,2,4,0,nan,nan,0.06
9/6/2023 11:33:12,1.16.3,ProgRatio,19,4.11,1,9,Pellet,Left,22,2,5,0,0.19,50,nan
9/6/2023 11:33:22,1.16.3,ProgRatio,19,4.11,nan,12,Left,Left,23,2,5,0,nan,nan,0.06
9/6/2023 11:33:23,1.16.3,ProgRatio,19,4.12,nan,12,Left,Left,24,2,5,0,nan,nan,0.14
9/6/2023 11:33:25,1.16.3,ProgRatio,19,4.11,nan,12,Left,Left,25,2,5,0,nan,nan,0.11
9/6/2023 11:33:26,1.16.3,ProgRatio,19,4.12,nan,12,Left,Left,26,2,5,0,nan,nan,0.17
9/6/2023 11:34:21,1.16.3,ProgRatio,19,4.11,nan,12,Right,Left,26,3,5,0,nan,nan,0.37
9/6/2023 11:34:22,1.16.3,ProgRatio,19,4.12,nan,12,Left,Left,27,3,5,0,nan,nan,0.09
9/6/2023 11:34:24,1.16.3,ProgRatio,19,4.12,nan,12,Left,Left,28,3,5,0,nan,nan,0.11
9/6/2023 11:34:25,1.16.3,ProgRatio,19,4.11,nan,12,Left,Left,29,3,5,0,nan,nan,0.20
9/6/2023 11:34:29,1.16.3,ProgRatio,19,4.11,nan,12,Left,Left,30,3,5,0,nan,nan,0.15
9/6/2023 11:34:32,1.16.3,ProgRatio,19,4.11,nan,12,Left,Left,31,3,5,0,nan,nan,0.17
9/6/2023 11:34:34,1.16.3,ProgRatio,19,4.11,nan,12,Left,Left,32,3,5,0,nan,nan,0.15
9/6/2023 11:34:35,1.16.3,ProgRatio,19,4.11,nan,12,Left,Left,33,3,5,0,nan,nan,0.11
9/6/2023 11:34:39,1.16.3,ProgRatio,19,4.11,nan,12,Left,Left,34,3,5,0,nan,nan,0.06
9/6/2023 11:34:40,1.16.3,ProgRatio,19,4.11,1,12,Pellet,Left,34,3,6,0,0.31,88,nan
