MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
8/17/2023 10:23:18,1.16.3,ProgRatio,9,4.21,nan,1,Left,Left,1,0,0,0,nan,nan,0.14
8/17/2023 10:23:23,1.16.3,ProgRatio,9,4.21,nan,1,LeftDuringDispense,Left,2,0,0,0,nan,nan,0.22
8/17/2023 10:23:27,1.16.3,ProgRatio,9,4.21,5,1,Pellet,Left,2,0,1,0,0.37,nan,nan
8/17/2023 10:25:20,1.16.3,ProgRatio,9,4.21,nan,2,Left,Left,3,0,1,0,nan,nan,0.04
8/17/2023 10:25:24,1.16.3,ProgRatio,9,4.21,nan,2,Left,Left,4,0,1,0,nan,nan,0.22
8/17/2023 10:25:24,1.16.3,ProgRatio,9,4.21,nan,2,LeftDuringDispense,Left,5,0,1,0,nan,nan,0.17
8/17/2023 10:25:39,1.16.3,ProgRatio,9,4.20,3,2,Pellet,Left,5,0,2,0,9.51,132,nan
8/17/2023 10:27:01,1.16.3,ProgRatio,9,4.21,nan,4,Left,Left,6,0,2,0,nan,nan,0.27
8/17/2023 10:27:05,1.16.3,ProgRatio,9,4.21,nan,4,Left,Left,7,0,2,0,nan,nan,0.22
8/17/2023 10:27:08,1.16.3,ProgRatio,9,4.21,nan,4,Left,Left,8,0,2,0,nan,nan,0.30
8/17/2023 10:27:11,1.16.3,ProgRatio,9,4.21,nan,4,Left,Left,9,0,2,0,nan,nan,0.27
8/17/2023 10:27:13,1.16.3,ProgRatio,9,4.21,1,4,Pellet,Left,9,0,3,0,0.44,94,nan
8/17/2023 10:27:55,1.16.3,ProgRatio,9,4.22,nan,6,Left,Left,10,0,3,0,nan,nan,0.08
8/17/2023 10:28:02,1.16.3,ProgRatio,9,4.21,nan,6,Left,Left,11,0,3,0,nan,nan,0.23
8/17/2023 10:28:04,1.16.3,ProgRatio,9,4.21,nan,6,Left,Left,12,0,3,0,nan,nan,0.28
8/17/2023 10:28:08,1.16.3,ProgRatio,9,4.21,nan,6,Left,Left,13,0,3,0,nan,nan,0.29
8/17/2023 10:28:09,1.16.3,ProgRatio,9,4.21,nan,6,Left,Left,14,0,3,0,nan,nan,0.02
8/17/2023 10:28:12,1.16.3,ProgRatio,9,4.21,nan,6,Left,Left,15,0,3,0,nan,nan,0.57
8/17/2023 10:28:13,1.16.3,ProgRatio,9,4.21,2,6,Pellet,Left,15,0,4,0,0.12,60,nan
8/17/2023 10:29:10,1.16.3,ProgRatio,9,4.21,nan,9,Left,Left,16,0,4,0,nan,nan,0.20
8/17/2023 10:29:15,1.16.3,ProgRatio,9,4.21,nan,9,Left,Left,17,0,4,0,nan,nan,0.37
8/17/2023 10:29:18,1.16.3,ProgRatio,9,4.21,nan,9,Left,Left,18,0,4,0,nan,nan,0.32
8/17/2023 10:29:21,1.16.3,ProgRatio,9,4.20,nan,9,Left,Left,19,0,4,0,nan,nan,0.45
8/17/2023 10:29:24,1.16.3,ProgRatio,9,4.21,nan,9,Left,Left,20,0,4,0,nan,nan,0.45
8/17/2023 10:29:28,1.16.3,ProgRatio,9,4.21,nan,9,Left,Left,21,0,4,0,nan,nan,0.76
8/17/2023 10:29:33,1.16.3,ProgRatio,9,4.21,nan,9,Left,Left,22,0,4,0,nan,nan,0.49
8/17/2023 10:29:34,1.16.3,ProgRatio,9,4.21,nan,9,Left,Left,23,0,4,0,nan,nan,0.20
8/17/2023 10:29:38,1.16.3,ProgRatio,9,4.21,nan,9,Left,Left,24,0,4,0,nan,nan,0.52
8/17/2023 10:29:38,1.16.3,ProgRatio,9,4.21,nan,9,LeftDuringDispense,Left,25,0,4,0,nan,nan,0.02
8/17/2023 10:29:41,1.16.3,ProgRatio,9,4.20,3,9,Pellet,Left,25,0,5,0,0.06,88,nan
8/17/2023 10:30:43,1.16.3,ProgRatio,9,4.21,nan,12,Left,Left,26,0,5,0,nan,nan,0.06
8/17/2023 10:30:47,1.16.3,ProgRatio,9,4.21,nan,12,Left,Left,27,0,5,0,nan,nan,0.44
8/17/2023 10:30:50,1.16.3,ProgRatio,9,4.21,nan,12,Left,Left,28,0,5,0,nan,nan,0.20
8/17/2023 10:30:59,1.16.3,ProgRatio,9,4.21,nan,12,Left,Left,29,0,5,0,nan,nan,0.57
8/17/2023 10:31:08,1.16.3,ProgRatio,9,4.21,nan,12,Left,Left,30,0,5,0,nan,nan,0.23
8/17/2023 10:31:11,1.16.3,ProgRatio,9,4.21,nan,12,Left,Left,31,0,5,0,nan,nan,0.76
8/17/2023 10:31:18,1.16.3,ProgRatio,9,4.21,nan,12,Left,Left,32,0,5,0,nan,nan,0.11
8/17/2023 10:31:23,1.16.3,ProgRatio,9,4.21,nan,12,Left,Left,33,0,5,0,nan,nan,0.14
8/17/2023 10:31:24,1.16.3,ProgRatio,9,4.21,nan,12,Left,Left,34,0,5,0,nan,nan,0.00
8/17/2023 10:31:26,1.16.3,ProgRatio,9,4.21,nan,12,Left,Left,35,0,5,0,nan,nan,1.14
8/17/2023 10:31:36,1.16.3,ProgRatio,9,4.21,nan,12,Left,Left,36,0,5,0,nan,nan,0.53
8/17/2023 10:32:11,1.16.3,ProgRatio,9,4.21,nan,12,Left,Left,37,0,5,0,nan,nan,0.11
8/17/2023 10:32:22,1.16.3,ProgRatio,9,4.20,3,12,Pellet,Left,37,0,6,0,8.18,161,nan
8/17/2023 10:33:48,1.16.3,ProgRatio,9,4.21,nan,15,Left,Left,38,0,6,0,nan,nan,0.00
8/17/2023 10:33:53,1.16.3,ProgRatio,9,4.21,nan,15,Left,Left,39,0,6,0,nan,nan,0.18
8/17/2023 10:33:56,1.16.3,ProgRatio,9,4.21,nan,15,Left,Left,40,0,6,0,nan,nan,0.23
8/17/2023 10:34:00,1.16.3,ProgRatio,9,4.20,nan,15,Left,Left,41,0,6,0,nan,nan,0.17
8/17/2023 10:34:04,1.16.3,ProgRatio,9,4.21,nan,15,Left,Left,42,0,6,0,nan,nan,0.20
8/17/2023 10:34:08,1.16.3,ProgRatio,9,4.20,nan,15,Left,Left,43,0,6,0,nan,nan,0.33
8/17/2023 10:34:10,1.16.3,ProgRatio,9,4.21,nan,15,Left,Left,44,0,6,0,nan,nan,0.22
8/17/2023 10:34:13,1.16.3,ProgRatio,9,4.21,nan,15,Left,Left,45,0,6,0,nan,nan,0.20
8/17/2023 10:34:16,1.16.3,ProgRatio,9,4.21,nan,15,Left,Left,46,0,6,0,nan,nan,0.20
8/17/2023 10:34:19,1.16.3,ProgRatio,9,4.21,nan,15,Left,Left,47,0,6,0,nan,nan,0.23
8/17/2023 10:34:21,1.16.3,ProgRatio,9,4.21,nan,15,Left,Left,48,0,6,0,nan,nan,0.55
8/17/2023 10:34:28,1.16.3,ProgRatio,9,4.21,nan,15,Left,Left,49,0,6,0,nan,nan,0.08
8/17/2023 10:34:34,1.16.3,ProgRatio,9,4.21,nan,15,Left,Left,50,0,6,0,nan,nan,0.14
8/17/2023 10:34:44,1.16.3,ProgRatio,9,4.21,nan,15,Right,Left,50,1,6,0,nan,nan,0.54
8/17/2023 10:35:38,1.16.3,ProgRatio,9,4.22,nan,15,Left,Left,51,1,6,0,nan,nan,0.20
8/17/2023 10:35:43,1.16.3,ProgRatio,9,4.20,nan,15,Left,Left,52,1,6,0,nan,nan,0.02
8/17/2023 10:35:44,1.16.3,ProgRatio,9,4.20,nan,15,LeftDuringDispense,Left,53,1,6,0,nan,nan,0.11
8/17/2023 10:35:47,1.16.3,ProgRatio,9,4.21,3,15,Pellet,Left,53,1,7,0,0.18,205,nan
8/17/2023 10:37:17,1.16.3,ProgRatio,9,4.21,nan,20,Left,Left,54,1,7,0,nan,nan,0.08
8/17/2023 10:37:23,1.16.3,ProgRatio,9,4.21,nan,20,Left,Left,55,1,7,0,nan,nan,0.69
8/17/2023 10:37:35,1.16.3,ProgRatio,9,4.20,nan,20,Left,Left,56,1,7,0,nan,nan,0.00
8/17/2023 10:37:59,1.16.3,ProgRatio,9,4.21,nan,20,Right,Left,56,2,7,0,nan,nan,0.28
8/17/2023 10:38:03,1.16.3,ProgRatio,9,4.20,nan,20,Left,Left,57,2,7,0,nan,nan,0.26
8/17/2023 10:38:06,1.16.3,ProgRatio,9,4.21,nan,20,Left,Left,58,2,7,0,nan,nan,0.52
8/17/2023 10:38:11,1.16.3,ProgRatio,9,4.21,nan,20,Left,Left,59,2,7,0,nan,nan,0.66
