MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
9/7/2023 11:17:37,1.16.3,ProgRatio,17,3.99,nan,1,Left,Left,1,0,0,0,nan,nan,0.05
9/7/2023 11:17:42,1.16.3,ProgRatio,17,4.00,3,1,Pellet,Left,1,0,1,0,0.37,nan,nan
9/7/2023 11:18:50,1.16.3,ProgRatio,17,3.99,nan,2,Left,Left,2,0,1,0,nan,nan,0.20
9/7/2023 11:19:32,1.16.3,ProgRatio,17,3.99,nan,2,Right,Left,2,1,1,0,nan,nan,0.00
9/7/2023 11:20:44,1.16.3,ProgRatio,17,3.99,nan,2,Left,Left,3,1,1,0,nan,nan,0.01
9/7/2023 11:20:45,1.16.3,ProgRatio,17,3.99,1,2,Pellet,Left,3,1,2,0,0.88,183,nan
9/7/2023 11:20:56,1.16.3,ProgRatio,17,3.99,nan,4,Left,Left,4,1,2,0,nan,nan,0.13
9/7/2023 11:20:58,1.16.3,ProgRatio,17,3.99,nan,4,Left,Left,5,1,2,0,nan,nan,0.30
9/7/2023 11:21:13,1.16.3,ProgRatio,17,3.99,nan,4,Left,Left,6,1,2,0,nan,nan,0.02
9/7/2023 11:21:54,1.16.3,ProgRatio,17,4.00,nan,4,Left,Left,7,1,2,0,nan,nan,0.00
9/7/2023 11:22:10,1.16.3,ProgRatio,17,3.99,1,4,Pellet,Left,7,1,3,0,15.67,85,nan
9/7/2023 11:22:23,1.16.3,ProgRatio,17,3.99,nan,6,Left,Left,8,1,3,0,nan,nan,0.27
9/7/2023 11:22:25,1.16.3,ProgRatio,17,3.99,nan,6,Left,Left,9,1,3,0,nan,nan,0.37
9/7/2023 11:22:27,1.16.3,ProgRatio,17,3.99,nan,6,Left,Left,10,1,3,0,nan,nan,0.26
9/7/2023 11:22:31,1.16.3,ProgRatio,17,4.00,nan,6,Left,Left,11,1,3,0,nan,nan,0.25
9/7/2023 11:22:39,1.16.3,ProgRatio,17,3.99,nan,6,Left,Left,12,1,3,0,nan,nan,0.04
9/7/2023 11:25:47,1.16.3,ProgRatio,17,3.99,nan,6,Left,Left,13,1,3,0,nan,nan,0.08
9/7/2023 11:25:49,1.16.3,ProgRatio,17,4.00,1,6,Pellet,Left,13,1,4,0,0.56,219,nan
9/7/2023 11:26:01,1.16.3,ProgRatio,17,3.98,nan,9,Left,Left,14,1,4,0,nan,nan,0.40
9/7/2023 11:26:04,1.16.3,ProgRatio,17,3.99,nan,9,Left,Left,15,1,4,0,nan,nan,0.42
9/7/2023 11:26:06,1.16.3,ProgRatio,17,3.99,nan,9,Left,Left,16,1,4,0,nan,nan,0.35
9/7/2023 11:26:10,1.16.3,ProgRatio,17,3.99,nan,9,Left,Left,17,1,4,0,nan,nan,0.23
9/7/2023 11:26:13,1.16.3,ProgRatio,17,3.99,nan,9,Left,Left,18,1,4,0,nan,nan,0.49
9/7/2023 11:26:16,1.16.3,ProgRatio,17,3.99,nan,9,Left,Left,19,1,4,0,nan,nan,0.45
9/7/2023 11:26:32,1.16.3,ProgRatio,17,3.99,nan,9,Left,Left,20,1,4,0,nan,nan,0.14
9/7/2023 11:29:35,1.16.3,ProgRatio,17,3.98,nan,9,Left,Left,21,1,4,0,nan,nan,0.11
9/7/2023 11:29:41,1.16.3,ProgRatio,17,3.99,nan,9,Left,Left,22,1,4,0,nan,nan,0.78
9/7/2023 11:29:43,1.16.3,ProgRatio,17,3.99,1,9,Pellet,Left,22,1,5,0,0.88,234,nan
9/7/2023 11:29:57,1.16.3,ProgRatio,17,3.99,nan,12,Left,Left,23,1,5,0,nan,nan,0.41
9/7/2023 11:30:01,1.16.3,ProgRatio,17,3.99,nan,12,Left,Left,24,1,5,0,nan,nan,0.12
9/7/2023 11:30:07,1.16.3,ProgRatio,17,4.00,nan,12,Left,Left,25,1,5,0,nan,nan,0.00
9/7/2023 11:30:11,1.16.3,ProgRatio,17,3.98,nan,12,Left,Left,26,1,5,0,nan,nan,0.37
9/7/2023 11:30:14,1.16.3,ProgRatio,17,3.99,nan,12,Left,Left,27,1,5,0,nan,nan,0.12
9/7/2023 11:30:18,1.16.3,ProgRatio,17,3.99,nan,12,Left,Left,28,1,5,0,nan,nan,0.60
9/7/2023 11:30:20,1.16.3,ProgRatio,17,3.99,nan,12,Left,Left,29,1,5,0,nan,nan,0.75
9/7/2023 11:30:26,1.16.3,ProgRatio,17,3.99,nan,12,Left,Left,30,1,5,0,nan,nan,0.15
9/7/2023 11:30:30,1.16.3,ProgRatio,17,3.98,nan,12,Left,Left,31,1,5,0,nan,nan,0.37
9/7/2023 11:30:35,1.16.3,ProgRatio,17,3.99,nan,12,Left,Left,32,1,5,0,nan,nan,0.18
9/7/2023 11:30:40,1.16.3,ProgRatio,17,3.99,nan,12,Right,Left,32,2,5,0,nan,nan,0.28
