MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
8/17/2023 10:35:07,1.16.3,ProgRatio,12,4.10,nan,1,Left,Left,1,0,0,0,nan,nan,0.18
8/17/2023 10:35:14,1.16.3,ProgRatio,12,4.10,4,1,Pellet,Left,1,0,1,0,0.94,nan,nan
8/17/2023 10:35:22,1.16.3,ProgRatio,12,4.10,nan,2,Left,Left,2,0,1,0,nan,nan,0.06
8/17/2023 10:35:29,1.16.3,ProgRatio,12,4.10,nan,2,Left,Left,3,0,1,0,nan,nan,0.19
8/17/2023 10:35:29,1.16.3,ProgRatio,12,4.09,nan,2,LeftDuringDispense,Left,4,0,1,0,nan,nan,0.00
8/17/2023 10:35:33,1.16.3,ProgRatio,12,4.10,nan,2,LeftWithPellet,Left,5,0,1,0,nan,nan,0.17
8/17/2023 10:35:33,1.16.3,ProgRatio,12,4.10,2,2,Pellet,Left,5,0,2,0,1.42,19,nan
8/17/2023 10:36:13,1.16.3,ProgRatio,12,4.10,nan,4,Left,Left,6,0,2,0,nan,nan,0.06
8/17/2023 10:36:17,1.16.3,ProgRatio,12,4.10,nan,4,Left,Left,7,0,2,0,nan,nan,0.35
8/17/2023 10:36:20,1.16.3,ProgRatio,12,4.10,nan,4,Left,Left,8,0,2,0,nan,nan,0.35
8/17/2023 10:36:22,1.16.3,ProgRatio,12,4.10,nan,4,Left,Left,9,0,2,0,nan,nan,0.28
8/17/2023 10:36:23,1.16.3,ProgRatio,12,4.10,1,4,Pellet,Left,9,0,3,0,0.18,50,nan
8/17/2023 10:36:35,1.16.3,ProgRatio,12,4.10,nan,6,Left,Left,10,0,3,0,nan,nan,0.07
8/17/2023 10:36:39,1.16.3,ProgRatio,12,4.10,nan,6,Left,Left,11,0,3,0,nan,nan,0.14
8/17/2023 10:36:42,1.16.3,ProgRatio,12,4.10,nan,6,Left,Left,12,0,3,0,nan,nan,0.33
8/17/2023 10:36:44,1.16.3,ProgRatio,12,4.10,nan,6,Left,Left,13,0,3,0,nan,nan,0.39
8/17/2023 10:36:48,1.16.3,ProgRatio,12,4.09,nan,6,Left,Left,14,0,3,0,nan,nan,0.20
8/17/2023 10:36:51,1.16.3,ProgRatio,12,4.09,nan,6,Left,Left,15,0,3,0,nan,nan,0.66
8/17/2023 10:36:59,1.16.3,ProgRatio,12,4.09,2,6,Pellet,Left,15,0,4,0,7.48,36,nan
8/17/2023 10:38:46,1.16.3,ProgRatio,12,4.09,nan,9,Left,Left,16,0,4,0,nan,nan,0.22
8/17/2023 10:38:49,1.16.3,ProgRatio,12,4.10,nan,9,Left,Left,17,0,4,0,nan,nan,0.19
8/17/2023 10:38:51,1.16.3,ProgRatio,12,4.11,nan,9,Left,Left,18,0,4,0,nan,nan,0.16
8/17/2023 10:38:53,1.16.3,ProgRatio,12,4.10,nan,9,Left,Left,19,0,4,0,nan,nan,0.19
