MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
8/17/2023 10:49:57,1.16.3,ProgRatio,7,4.04,nan,1,Left,Left,1,0,0,0,nan,nan,0.05
8/17/2023 10:50:03,1.16.3,ProgRatio,7,4.04,3,1,Pellet,Left,1,0,1,0,0.94,nan,nan
8/17/2023 10:50:34,1.16.3,ProgRatio,7,4.04,nan,2,Left,Left,2,0,1,0,nan,nan,0.00
8/17/2023 10:50:36,1.16.3,ProgRatio,7,4.04,nan,2,Left,Left,3,0,1,0,nan,nan,0.34
8/17/2023 10:50:37,1.16.3,ProgRatio,7,4.04,1,2,Pellet,Left,3,0,2,0,0.50,34,nan
8/17/2023 10:50:49,1.16.3,ProgRatio,7,4.05,nan,4,Left,Left,4,0,2,0,nan,nan,0.01
8/17/2023 10:50:54,1.16.3,ProgRatio,7,4.04,nan,4,Left,Left,5,0,2,0,nan,nan,0.08
8/17/2023 10:50:59,1.16.3,ProgRatio,7,4.04,nan,4,Left,Left,6,0,2,0,nan,nan,0.03
8/17/2023 10:50:59,1.16.3,ProgRatio,7,4.04,nan,4,Left,Left,7,0,2,0,nan,nan,0.00
8/17/2023 10:51:01,1.16.3,ProgRatio,7,4.05,2,4,Pellet,Left,7,0,3,0,0.06,23,nan
8/17/2023 10:51:56,1.16.3,ProgRatio,7,4.04,nan,6,Left,Left,8,0,3,0,nan,nan,0.21
8/17/2023 10:51:58,1.16.3,ProgRatio,7,4.04,nan,6,Left,Left,9,0,3,0,nan,nan,0.40
8/17/2023 10:52:00,1.16.3,ProgRatio,7,4.04,nan,6,Left,Left,10,0,3,0,nan,nan,0.26
8/17/2023 10:52:03,1.16.3,ProgRatio,7,4.05,nan,6,Left,Left,11,0,3,0,nan,nan,0.23
8/17/2023 10:52:06,1.16.3,ProgRatio,7,4.05,nan,6,Left,Left,12,0,3,0,nan,nan,0.41
8/17/2023 10:52:07,1.16.3,ProgRatio,7,4.05,nan,6,Left,Left,13,0,3,0,nan,nan,0.08
8/17/2023 10:52:08,1.16.3,ProgRatio,7,4.04,nan,6,LeftDuringDispense,Left,14,0,3,0,nan,nan,0.05
8/17/2023 10:52:11,1.16.3,ProgRatio,7,4.04,2,6,Pellet,Left,14,0,4,0,0.75,71,nan
8/17/2023 10:52:19,1.16.3,ProgRatio,7,4.05,nan,9,Left,Left,15,0,4,0,nan,nan,0.04
8/17/2023 10:52:21,1.16.3,ProgRatio,7,4.04,nan,9,Left,Left,16,0,4,0,nan,nan,0.22
8/17/2023 10:52:23,1.16.3,ProgRatio,7,4.04,nan,9,Left,Left,17,0,4,0,nan,nan,0.14
8/17/2023 10:52:25,1.16.3,ProgRatio,7,4.04,nan,9,Left,Left,18,0,4,0,nan,nan,0.22
8/17/2023 10:52:27,1.16.3,ProgRatio,7,4.04,nan,9,Left,Left,19,0,4,0,nan,nan,0.17
8/17/2023 10:52:28,1.16.3,ProgRatio,7,4.04,nan,9,Left,Left,20,0,4,0,nan,nan,0.09
8/17/2023 10:52:32,1.16.3,ProgRatio,7,4.04,nan,9,Left,Left,21,0,4,0,nan,nan,0.13
8/17/2023 10:52:36,1.16.3,ProgRatio,7,4.05,nan,9,Left,Left,22,0,4,0,nan,nan,0.36
8/17/2023 10:52:39,1.16.3,ProgRatio,7,4.04,nan,9,Left,Left,23,0,4,0,nan,nan,0.27
8/17/2023 10:52:40,1.16.3,ProgRatio,7,4.04,2,9,Pellet,Left,23,0,5,0,0.37,29,nan
8/17/2023 10:52:48,1.16.3,ProgRatio,7,4.04,nan,12,Left,Left,24,0,5,0,nan,nan,0.04
8/17/2023 10:52:51,1.16.3,ProgRatio,7,4.04,nan,12,Left,Left,25,0,5,0,nan,nan,0.05
8/17/2023 10:52:54,1.16.3,ProgRatio,7,4.04,nan,12,Left,Left,26,0,5,0,nan,nan,0.23
8/17/2023 10:52:58,1.16.3,ProgRatio,7,4.05,nan,12,Left,Left,27,0,5,0,nan,nan,0.16
8/17/2023 10:53:02,1.16.3,ProgRatio,7,4.05,nan,12,Left,Left,28,0,5,0,nan,nan,0.15
8/17/2023 10:53:03,1.16.3,ProgRatio,7,4.04,nan,12,Left,Left,29,0,5,0,nan,nan,0.00
8/17/2023 10:53:05,1.16.3,ProgRatio,7,4.05,nan,12,Left,Left,30,0,5,0,nan,nan,0.17
8/17/2023 10:53:09,1.16.3,ProgRatio,7,4.05,nan,12,Left,Left,31,0,5,0,nan,nan,0.25
8/17/2023 10:53:14,1.16.3,ProgRatio,7,4.04,nan,12,Right,Left,31,1,5,0,nan,nan,0.31
8/17/2023 10:56:01,1.16.3,ProgRatio,7,4.04,nan,12,Left,Left,32,1,5,0,nan,nan,0.36
8/17/2023 10:56:08,1.16.3,ProgRatio,7,4.04,nan,12,Left,Left,33,1,5,0,nan,nan,0.36
8/17/2023 10:56:12,1.16.3,ProgRatio,7,4.05,nan,12,Left,Left,34,1,5,0,nan,nan,0.12
8/17/2023 10:56:14,1.16.3,ProgRatio,7,4.04,nan,12,Left,Left,35,1,5,0,nan,nan,0.22
8/17/2023 10:56:15,1.16.3,ProgRatio,7,4.04,2,12,Pellet,Left,35,1,6,0,0.12,215,nan
8/17/2023 10:56:41,1.16.3,ProgRatio,7,4.04,nan,15,Left,Left,36,1,6,0,nan,nan,0.13
8/17/2023 10:56:45,1.16.3,ProgRatio,7,4.04,nan,15,Left,Left,37,1,6,0,nan,nan,0.25
8/17/2023 10:56:48,1.16.3,ProgRatio,7,4.05,nan,15,Left,Left,38,1,6,0,nan,nan,0.43
8/17/2023 10:56:54,1.16.3,ProgRatio,7,4.04,nan,15,Left,Left,39,1,6,0,nan,nan,1.14
8/17/2023 10:56:58,1.16.3,ProgRatio,7,4.03,nan,15,Left,Left,40,1,6,0,nan,nan,0.30
8/17/2023 10:57:01,1.16.3,ProgRatio,7,4.05,nan,15,Right,Left,40,2,6,0,nan,nan,0.20
8/17/2023 10:57:03,1.16.3,ProgRatio,7,4.04,nan,15,Left,Left,41,2,6,0,nan,nan,0.16
8/17/2023 10:57:06,1.16.3,ProgRatio,7,4.04,nan,15,Left,Left,42,2,6,0,nan,nan,0.59
8/17/2023 10:57:08,1.16.3,ProgRatio,7,4.04,nan,15,Left,Left,43,2,6,0,nan,nan,0.12
8/17/2023 10:57:10,1.16.3,ProgRatio,7,4.04,nan,15,Left,Left,44,2,6,0,nan,nan,0.55
8/17/2023 10:57:13,1.16.3,ProgRatio,7,4.05,nan,15,Left,Left,45,2,6,0,nan,nan,0.31
8/17/2023 10:57:15,1.16.3,ProgRatio,7,4.04,nan,15,Left,Left,46,2,6,0,nan,nan,0.19
8/17/2023 10:57:19,1.16.3,ProgRatio,7,4.04,nan,15,Left,Left,47,2,6,0,nan,nan,0.15
8/17/2023 10:57:21,1.16.3,ProgRatio,7,4.04,nan,15,Left,Left,48,2,6,0,nan,nan,0.10
8/17/2023 10:57:22,1.16.3,ProgRatio,7,4.04,nan,15,Left,Left,49,2,6,0,nan,nan,0.13
8/17/2023 10:57:24,1.16.3,ProgRatio,7,4.05,nan,15,Left,Left,50,2,6,0,nan,nan,0.05
8/17/2023 10:57:30,1.16.3,ProgRatio,7,4.04,2,15,Pellet,Left,50,2,7,0,5.00,75,nan
8/17/2023 10:59:37,1.16.3,ProgRatio,7,4.04,nan,20,Left,Left,51,2,7,0,nan,nan,0.24
8/17/2023 10:59:47,1.16.3,ProgRatio,7,4.03,nan,20,Left,Left,52,2,7,0,nan,nan,0.20
8/17/2023 10:59:55,1.16.3,ProgRatio,7,4.04,nan,20,Left,Left,53,2,7,0,nan,nan,0.26
8/17/2023 10:59:57,1.16.3,ProgRatio,7,4.05,nan,20,Left,Left,54,2,7,0,nan,nan,0.49
8/17/2023 11:00:04,1.16.3,ProgRatio,7,4.05,nan,20,Left,Left,55,2,7,0,nan,nan,0.06
8/17/2023 11:00:07,1.16.3,ProgRatio,7,4.04,nan,20,Left,Left,56,2,7,0,nan,nan,0.11
8/17/2023 11:00:13,1.16.3,ProgRatio,7,4.04,nan,20,Left,Left,57,2,7,0,nan,nan,0.02
8/17/2023 11:00:16,1.16.3,ProgRatio,7,4.04,nan,20,Left,Left,58,2,7,0,nan,nan,0.07
8/17/2023 11:02:48,1.16.3,ProgRatio,7,4.05,nan,20,Right,Left,58,3,7,0,nan,nan,0.10
8/17/2023 11:02:49,1.16.3,ProgRatio,7,4.05,nan,20,Right,Left,58,4,7,0,nan,nan,0.29
8/17/2023 11:02:59,1.16.3,ProgRatio,7,4.04,nan,20,Right,Left,58,5,7,0,nan,nan,0.42
8/17/2023 11:03:46,1.16.3,ProgRatio,7,4.05,nan,20,Left,Left,59,5,7,0,nan,nan,0.05
8/17/2023 11:03:49,1.16.3,ProgRatio,7,4.04,nan,20,Left,Left,60,5,7,0,nan,nan,0.15
8/17/2023 11:03:51,1.16.3,ProgRatio,7,4.04,nan,20,Left,Left,61,5,7,0,nan,nan,0.47
8/17/2023 11:04:00,1.16.3,ProgRatio,7,4.04,nan,20,Left,Left,62,5,7,0,nan,nan,0.15
8/17/2023 11:04:01,1.16.3,ProgRatio,7,4.05,nan,20,Left,Left,63,5,7,0,nan,nan,0.00
8/17/2023 11:04:06,1.16.3,ProgRatio,7,4.04,nan,20,Left,Left,64,5,7,0,nan,nan,0.33
8/17/2023 11:04:07,1.16.3,ProgRatio,7,4.05,nan,20,Left,Left,65,5,7,0,nan,nan,0.25
8/17/2023 11:04:11,1.16.3,ProgRatio,7,4.04,nan,20,Left,Left,66,5,7,0,nan,nan,0.20
8/17/2023 11:04:12,1.16.3,ProgRatio,7,4.04,nan,20,Left,Left,67,5,7,0,nan,nan,0.19
8/17/2023 11:04:14,1.16.3,ProgRatio,7,4.05,nan,20,Left,Left,68,5,7,0,nan,nan,0.05
8/17/2023 11:04:17,1.16.3,ProgRatio,7,4.04,nan,20,Left,Left,69,5,7,0,nan,nan,0.08
8/17/2023 11:08:06,1.16.3,ProgRatio,7,4.04,nan,20,Left,Left,70,5,7,0,nan,nan,0.03
8/17/2023 11:08:07,1.16.3,ProgRatio,7,4.04,2,20,Pellet,Left,70,5,8,0,0.44,637,nan
8/17/2023 11:08:21,1.16.3,ProgRatio,7,4.04,nan,25,Left,Left,71,5,8,0,nan,nan,0.07
8/17/2023 11:08:26,1.16.3,ProgRatio,7,4.04,nan,25,Left,Left,72,5,8,0,nan,nan,0.19
8/17/2023 11:08:34,1.16.3,ProgRatio,7,4.05,nan,25,Left,Left,73,5,8,0,nan,nan,0.32
8/17/2023 11:08:35,1.16.3,ProgRatio,7,4.05,nan,25,Left,Left,74,5,8,0,nan,nan,0.35
8/17/2023 11:08:39,1.16.3,ProgRatio,7,4.04,nan,25,Left,Left,75,5,8,0,nan,nan,0.25
8/17/2023 11:08:43,1.16.3,ProgRatio,7,4.04,nan,25,Left,Left,76,5,8,0,nan,nan,0.75
8/17/2023 11:08:45,1.16.3,ProgRatio,7,4.04,nan,25,Left,Left,77,5,8,0,nan,nan,0.10
8/17/2023 11:08:46,1.16.3,ProgRatio,7,4.04,nan,25,Left,Left,78,5,8,0,nan,nan,0.43
8/17/2023 11:08:51,1.16.3,ProgRatio,7,4.04,nan,25,Left,Left,79,5,8,0,nan,nan,0.34
8/17/2023 11:08:59,1.16.3,ProgRatio,7,4.04,nan,25,Left,Left,80,5,8,0,nan,nan,0.39
8/17/2023 11:09:00,1.16.3,ProgRatio,7,4.04,nan,25,Left,Left,81,5,8,0,nan,nan,0.35
8/17/2023 11:09:03,1.16.3,ProgRatio,7,4.04,nan,25,Left,Left,82,5,8,0,nan,nan,0.43
8/17/2023 11:09:05,1.16.3,ProgRatio,7,4.04,nan,25,Left,Left,83,5,8,0,nan,nan,0.12
8/17/2023 11:09:07,1.16.3,ProgRatio,7,4.04,nan,25,Left,Left,84,5,8,0,nan,nan,0.36
8/17/2023 11:09:09,1.16.3,ProgRatio,7,4.04,nan,25,Left,Left,85,5,8,0,nan,nan,0.23
8/17/2023 11:09:21,1.16.3,ProgRatio,7,4.05,nan,25,Left,Left,86,5,8,0,nan,nan,0.17
8/17/2023 11:09:24,1.16.3,ProgRatio,7,4.04,nan,25,Left,Left,87,5,8,0,nan,nan,0.08
8/17/2023 11:09:26,1.16.3,ProgRatio,7,4.05,nan,25,Left,Left,88,5,8,0,nan,nan,0.32
8/17/2023 11:09:27,1.16.3,ProgRatio,7,4.04,nan,25,Left,Left,89,5,8,0,nan,nan,0.00
8/17/2023 11:09:30,1.16.3,ProgRatio,7,4.04,nan,25,Left,Left,90,5,8,0,nan,nan,0.33
8/17/2023 11:09:32,1.16.3,ProgRatio,7,4.04,nan,25,Left,Left,91,5,8,0,nan,nan,0.11
8/17/2023 11:09:34,1.16.3,ProgRatio,7,4.05,nan,25,Left,Left,92,5,8,0,nan,nan,0.16
8/17/2023 11:13:29,1.16.3,ProgRatio,7,4.04,nan,25,Left,Left,93,5,8,0,nan,nan,0.18
8/17/2023 11:13:31,1.16.3,ProgRatio,7,4.04,nan,25,Left,Left,94,5,8,0,nan,nan,0.38
8/17/2023 11:13:33,1.16.3,ProgRatio,7,4.04,nan,25,Left,Left,95,5,8,0,nan,nan,0.29
8/17/2023 11:13:34,1.16.3,ProgRatio,7,4.05,2,25,Pellet,Left,95,5,9,0,0.12,327,nan
8/17/2023 11:13:47,1.16.3,ProgRatio,7,4.04,nan,32,Left,Left,96,5,9,0,nan,nan,0.14
8/17/2023 11:13:52,1.16.3,ProgRatio,7,4.04,nan,32,Left,Left,97,5,9,0,nan,nan,0.06
8/17/2023 11:13:59,1.16.3,ProgRatio,7,4.04,nan,32,Left,Left,98,5,9,0,nan,nan,0.01
8/17/2023 11:14:02,1.16.3,ProgRatio,7,4.04,nan,32,Left,Left,99,5,9,0,nan,nan,0.06
8/17/2023 11:14:06,1.16.3,ProgRatio,7,4.05,nan,32,Left,Left,100,5,9,0,nan,nan,0.07
